roberta_neg,roberta_neu,roberta_pos,Score
0.009624217,0.049980354,0.94039536,5
0.50898594,0.45241365,0.038600374,1
0.0032289,0.09806742,0.8987037,4
0.002295126,0.090219185,0.90748566,2
0.001634728,0.01030247,0.98806286,5
0.006129599,0.021795876,0.97207457,4
0.001304753,0.007773787,0.99092144,5
0.002029358,0.005685204,0.9922854,5
0.00387358,0.094156325,0.9019701,5
0.00310346,0.055912208,0.9409843,5
0.019134136,0.0710445,0.9098214,5
0.37264317,0.51969904,0.1076578,5
0.46612477,0.41525915,0.11861609,1
0.001407748,0.005883275,0.9927089,4
0.001824423,0.021840978,0.9763346,5
0.004562125,0.032325394,0.96311253,5
0.002922588,0.013419516,0.9836579,2
0.001111824,0.008006266,0.9908819,5
0.003030082,0.14215377,0.85481614,5
0.005554637,0.032469284,0.96197605,5
0.010422163,0.065259255,0.9243186,5
0.001678398,0.020744026,0.97757757,5
0.00947941,0.05693863,0.93358195,5
0.003261181,0.023222966,0.97351587,5
0.44952723,0.39073467,0.15973808,5
0.045313988,0.7786215,0.1760645,5
0.95331556,0.040582936,0.006101403,1
0.003847587,0.022754192,0.97339827,4
0.004532335,0.014126607,0.981341,5
0.019134136,0.0710445,0.9098214,5
0.002430514,0.016508134,0.98106134,5
0.001384875,0.009927845,0.9886873,5
0.11853338,0.32944208,0.55202454,4
0.004969139,0.05102643,0.94400436,4
0.002159758,0.017793642,0.98004663,5
0.003050842,0.08110064,0.9158485,4
0.002434578,0.011576185,0.9859892,5
0.038969096,0.22200039,0.7390305,5
0.01405624,0.2988298,0.687114,4
0.001202662,0.023010893,0.97578645,5
0.009690555,0.03783318,0.95247626,5
0.03651174,0.18096748,0.7825208,5
0.001403938,0.009315227,0.9892809,5
0.001912878,0.016714506,0.9813726,5
0.005844251,0.041151915,0.9530039,5
0.8868878,0.09925421,0.013857921,3
0.10034396,0.29550388,0.60415214,5
0.16032897,0.33897036,0.50070065,3
0.003388426,0.021274349,0.9753372,4
0.9021344,0.087925486,0.009940092,3
0.97635514,0.020687453,0.002957368,1
0.004793722,0.026923984,0.9682823,5
0.5248542,0.37918493,0.095960915,4
0.4226576,0.50050485,0.076837584,3
0.001639833,0.05024221,0.9481179,4
0.001800092,0.01893234,0.9792676,5
0.001608209,0.008115834,0.990276,5
0.002019187,0.01869797,0.9792828,5
0.001220517,0.007787714,0.99099183,5
0.00387017,0.08162684,0.914503,5
0.0147165,0.27715096,0.7081325,3
0.017847532,0.095916145,0.8862363,5
0.9050873,0.082814865,0.012097818,1
0.013532385,0.07057339,0.9158942,5
0.001568811,0.01841753,0.9800136,5
0.00319998,0.08046351,0.9163365,5
0.13516104,0.4043917,0.4604473,5
0.87971437,0.106249645,0.014035885,2
0.35050166,0.36837843,0.2811199,3
0.96015793,0.03542912,0.004412972,5
0.03223988,0.13916089,0.8285993,5
0.003874341,0.022212058,0.9739136,5
0.001317897,0.010000751,0.9886813,5
0.5413005,0.30490553,0.15379395,1
0.1388596,0.5320561,0.32908434,2
0.9441382,0.050168045,0.005693686,1
0.26665467,0.43165016,0.30169526,5
0.003558826,0.027854554,0.9685866,5
0.004848651,0.052556112,0.9425952,3
0.62615377,0.2821148,0.09173145,5
0.001572109,0.006269503,0.9921584,5
0.002526059,0.012215311,0.9852586,4
0.1025066,0.4036049,0.49388856,3
0.12168557,0.35795158,0.52036285,3
0.002451039,0.010034815,0.9875142,5
0.03602332,0.14819314,0.81578356,5
0.005131012,0.0404468,0.95442224,5
0.016249033,0.107833326,0.8759176,5
0.003609503,0.00985429,0.9865362,5
0.009687847,0.13429175,0.8560204,5
0.007930279,0.044241544,0.9478282,5
0.00226189,0.00767612,0.990062,5
0.008068772,0.0549763,0.9369549,5
0.02168382,0.42294058,0.5553756,5
0.007116631,0.061204895,0.9316784,5
0.003077299,0.036150396,0.96077234,5
0.15611732,0.3070756,0.53680706,5
0.09271878,0.59766096,0.30962026,5
0.9624426,0.031978726,0.005578728,1
0.30692145,0.456569,0.23650958,5
0.06290247,0.294516,0.6425816,4
0.040520422,0.11086618,0.8486134,4
0.029932516,0.054880742,0.9151867,5
0.00385709,0.013474421,0.9826685,5
0.001872351,0.008443224,0.98968446,5
0.36725053,0.43870348,0.19404599,3
0.001923849,0.016131058,0.98194516,5
0.002485251,0.005869607,0.99164516,5
0.002427082,0.01181352,0.9857594,5
0.07103571,0.40621367,0.5227506,2
0.003892133,0.02121395,0.97489387,5
0.118831225,0.38704345,0.49412537,5
0.00190372,0.009111729,0.98898447,5
0.003750973,0.012069863,0.9841792,5
0.001251191,0.016081374,0.9826674,5
0.003406014,0.039612006,0.95698196,5
0.00175487,0.010143994,0.9881011,5
0.28056344,0.47737712,0.2420594,5
0.003258383,0.018432537,0.9783091,5
0.003553172,0.022995992,0.9734508,5
0.19982734,0.46116278,0.33900985,5
0.13655366,0.3471618,0.5162846,5
0.08452811,0.39469156,0.5207803,5
0.004302054,0.027235242,0.9684627,5
0.023989324,0.1827709,0.7932398,5
0.001573026,0.014196349,0.9842306,5
0.007769848,0.049486905,0.9427433,4
0.002505715,0.013060349,0.98443395,5
0.5871598,0.2633001,0.14954002,3
0.001669051,0.016341805,0.98198915,5
0.7493829,0.22269785,0.027919302,2
0.08118551,0.19308408,0.7257304,5
0.001743881,0.013367531,0.98488855,5
0.001029336,0.026390303,0.9725804,5
0.02364987,0.05785516,0.91849494,4
0.001471745,0.011302728,0.9872255,5
0.02491207,0.103373155,0.8717148,5
0.15639997,0.24645083,0.5971492,5
0.024401598,0.07160535,0.90399307,5
0.24081098,0.43190485,0.32728413,4
0.016400762,0.087008834,0.89659035,4
0.0025163,0.007232636,0.99025106,5
0.002151072,0.011133484,0.9867155,5
0.50522566,0.4370697,0.057704672,3
0.005146583,0.034386653,0.96046674,5
0.36342317,0.4185841,0.21799281,2
0.055790175,0.12982303,0.8143868,5
0.044037975,0.18290485,0.77305716,3
0.001293348,0.013132091,0.9855745,5
0.001566442,0.006832089,0.9916014,5
0.002013053,0.062400144,0.9355868,5
0.0013454,0.0271914,0.9714632,4
0.7083694,0.23563302,0.05599759,1
0.001630086,0.005390059,0.9929798,5
0.001988999,0.012380141,0.9856309,5
0.022001708,0.16944817,0.8085501,5
0.002366818,0.028503519,0.9691297,5
0.12988526,0.32907438,0.54104036,5
0.08064938,0.27685297,0.64249766,5
0.001285006,0.010186668,0.9885283,5
0.9152984,0.07865341,0.006048224,3
0.024918318,0.14422981,0.8308519,4
0.004377321,0.051931012,0.9436916,5
0.36830834,0.42519727,0.20649436,1
0.001783693,0.01760404,0.9806122,5
0.001649216,0.028126458,0.9702243,5
0.9482189,0.046903566,0.00487755,1
0.9343901,0.05704225,0.008567608,1
0.69411063,0.26396152,0.041927848,3
0.001767136,0.057575557,0.9406573,5
0.005957371,0.04873942,0.94530314,5
0.002115713,0.01113412,0.9867502,5
0.004908447,0.048054617,0.9470369,5
0.042037755,0.16823104,0.7897312,4
0.00146109,0.01789802,0.9806409,5
0.002733676,0.043978754,0.95328754,5
0.033187356,0.17210303,0.7947096,5
0.06252645,0.18336497,0.75410855,4
0.01138389,0.054276634,0.93433946,4
0.11886174,0.34905055,0.53208774,4
0.001888567,0.007512769,0.9905986,5
0.025213871,0.107514285,0.86727184,3
0.002564874,0.030259036,0.967176,5
0.001950307,0.012991915,0.9850578,5
0.14508095,0.42683968,0.42807937,5
0.03735738,0.2259415,0.73670113,5
0.003364211,0.03022295,0.9664128,4
0.108292565,0.3163683,0.57533914,3
0.002107646,0.016815921,0.9810765,5
